datasetid,title,description,theme,keyword,license,language,modified,data_processed,metadata_processed,publisher,references,odi_certificate_url,records_count,attributions,source_domain,source_domain_title,source_domain_address,source_dataset,oauth_scope,dcat.created,dcat.issued,dcat.creator,dcat.contributor,dcat.accrualperiodicity,dcat.spatial,dcat.temporal,dcat.granularity,dcat.dataquality,inspire.file_identifier,inspire.hierarchy_level,inspire.hierarchy_level_name,inspire.contact_individual_name,inspire.contact_position,inspire.contact_address,inspire.contact_email,inspire.identification_purpose,inspire.extend_description,inspire.extend_bounding_box_westbound_longitude,inspire.extend_bounding_box_eastbound_longitude,inspire.extend_bounding_box_southbound_latitude,inspire.extend_bounding_box_northbound_latitude,explore.download_count
concessions_dans_les_jardins,Concessions dans les jardins,"<p>Liste des concessions (manèges, chalet de vente,...)  dans les jardins parisiens par arrondissement.</p>",Environnement,"jardin, parc, concessions, chalet de vente, manège, théâtre, souvenirs",ODbL Paris,fr,2013-05-30T01:51:37+00:00,,,Ville de Paris,,,118,,,,,,,,2011-01-26,Ville de Paris,Ville de Paris,non précisée,Paris,2011,arrondissement,,,,,,,,,,,,,,,1
trottoirs_des_rues_de_paris,Trottoirs des rues de Paris,"Données de type vecteur décrivant les trottoirs parisiens.

Exemple(s) de réutilisation(s) des données :
- Cartographie sur http://demo.3liz.fr/opendataparis",Urbanisme,"trottoir, rue, voie, piéton",Open Database License (ODbL),fr,2013-05-30T01:51:53+00:00,,,Ville de Paris,,,110076,,,,,,,,2011-12-04,Ville de Paris,Ville de Paris,,Paris,2011,,,,,,,,,,,,,,,,1
arbresremarquablesparis2011,Les arbres remarquables,"<p><em>Couche anciennement intitulée ""Arbres remarquables - Données géographiques"" (2011).</em></p><p>Cette couche à figuré ponctuel localise géographiquement l’ensemble des arbres remarquables présents sur le territoire parisien<em>.</em> La classification, le nom commun et la taille des arbres etc. sont renseignés sur la couche de données.</p><p>Pour plus de renseignements, consultez la notice en pièce jointe OU le dossier spécial <em><a href=""http://www.paris.fr/pratique/jardinage-vegetation/dossier-arbres-remarquables/les-arbres-remarquables-a-paris/rub_10043_dossier_103510_port_25125"" target=""_blank"">Arbres remarquables à Paris</a> </em>hébergé sur le site de la ville.</p>",Environnement,"ArbresRemarquables, Arbres, DEVE",Open Database License (ODbL),fr,2013-06-21T13:04:22+00:00,2015-06-25T14:55:00+00:00,2015-07-16T15:55:01+00:00,Direction des Espaces Verts et de l'Environnement (DEVE) - Ville de Paris,,,98,,,,,,,,2011-08-25,Direction des Espaces Verts et de l'Environnement (DEVE) - Ville de Paris,Direction des Espaces Verts et de l'Environnement (DEVE) - Ville de Paris,Annuelle,,,,,,,,,,,,,,,,,,2418
volumes_d_eau_distribues,Volumes d'eau distribués,"<p>
	Fichier détaillant les volumes d'eau potables consommés par mois en 2011 à Paris.
</p>",Environnement,"eau, consommation",Open Database License (ODbL),fr,2013-06-24T16:17:51+00:00,,,Ville de Paris - Direction de la propreté et de l'eau,,,12,,,,,,,,2012-10-05,Ville de Paris \ Direction de la propreté et de l'eau,Ville de Paris \ Direction de la propreté et de l'eau,annuelle,Paris,2011,Paris,,,,,,,,,,,,,,,2
etiquettes_energetiques_des_batiments_municipaux,Etiquettes énergétiques des batiments municipaux,"<p>
	 Jeu de données qualifiant les performances énergétiques des bâtiments :<br>
<span style=""line-height: 1.45em;"">- Étiquette énergie<br>
</br></span><span style=""line-height: 1.45em;"">- Étiquette Gaz à effet de serre.</span>
</br></p>
<p>
	 Les informations de ce jeu de données sont valables 10 ans.
</p>",Environnement,"GES, énergie, diagnostic",ODbL Paris,fr,2013-07-18T14:40:12+00:00,,,Ville de Paris,,,1743,Geographical locations from OpenStreetMap contributors - http://www.openstreetmap.org,,,,,,,2012-05-31,Ville de Paris,Ville de Paris,Tous les 10 ans,Paris,2011,,,,,,,,,,,,,,,,3
liste_des_jardins_partages_a_paris,Les jardins partagés,"<p><em>Couche anciennement intitulée ""Liste des jardins partagés à Paris"" (2011).</em></p><p>Cette couche à figuré ponctuel localise géographiquement l’ensemble  des jardins partagés, pédagogiques et/ou d’insertion gérés par  différentes associations.</p><p>Pour plus de renseignements,  consultez la notice en pièce jointe.</p><p style=""margin-left: 200px;""><br><strong>/!\ INFOS /!\ </strong></br></p><p>Suite à la mise à jour de ce jeu de données, nous avons décidé  de modifier le nom des champs :</p><table><tbody><tr><td><strong>Ancien nom</strong></td><td><strong>Nouveau nom</strong></td></tr><tr><td>Nom du jardin</td><td>NOM JARDIN</td></tr><tr><td>Type de jardin – activité principale</td><td>TYPE JARDIN</td></tr><tr><td>Adresse complète</td><td>ADRESSE JARDIN</td></tr><tr><td>Nom de l’association gestionnaire (...)</td><td>NOM GESTIONNAIRE</td></tr><tr><td>Adresse postale de l’association gestionnaire</td><td>ADRESSE GESTIONNAIRE</td></tr></tbody></table>",Environnement,"jardins, JardinsPartagés, DEVE",Open Database License (ODbL),fr,2013-07-29T09:59:18+00:00,,,Direction des Espaces Verts et de l'Environnement (DEVE) - Ville de Paris,,,90,,,,,,,,2011-10-27,Direction des Espaces Verts et de l'Environnement (DEVE) - Ville de Paris,Direction des Espaces Verts et de l'Environnement (DEVE) - Ville de Paris,Annuelle,,,,,,,,,,,,,,,,,,2
boston-public-schools-map,"Public Schools, Boston, MA","<p>
	<span style=""line-height: 1.45em;"">Location of Boston Public Schools</span>
</p>
<p>
	<span style=""line-height: 1.45em;"">source: </span><span style=""line-height: 1.45em;""></span><a href=""https://data.cityofboston.gov/dataset/Boston-Public-Schools-Map/vrhg-954w"" style=""line-height: 1.45em;"">https://data.cityofboston.gov/dataset/Boston-Public-Schools-Map/vrhg-954w</a>
</p>",Education,"facilities, education, schools",,en,2013-08-23T08:46:12+00:00,,,BOSTON/Boston Public Schools,,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2013-2014-nyc-school-zones,"2013-2014 School Zones, NYC","<p>
	   2013-2014 School Zones (as of May 8, 2013)
</p>
<p>
	   They are broken down by elementary school zones (ES_Zones), middle school zones (MS_Zones) and high school zones (HS_Zones).
</p>
<p>
	 <span style=""line-height: 1.45em;"">Source: </span><a href=""https://data.cityofnewyork.us/Education/2013-2014-School-Zones/pp5b-95kq"" style=""line-height: 1.45em;"">https://data.cityofnewyork.us/Education/2013-2014-School-Zones/pp5b-95kq</a>
</p>",Education,"gis, map, 2013-2014 school zones, doe, board of ed, ed",,en,2013-08-23T08:46:32+00:00,,,NYC/Department of Education (DOE),,,341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
boston-urban-orchards,"Urban Orchards, Boston, MA","<p>
	 <span style=""line-height: 1.45em;"">Urban orchards and fruit trees in and around the city of Boston. Please note: locations have not been verified, and may be on private property, inaccessible, not bearing fruit, or no longer there. Always confirm permission to enter and forage with any property owners. Use utmost caution in identifying and consuming any fruit. Feel free to contact us with any information pertaining to current conditions, and we will update the data.</span>
</p>
<p>
	 Source: <a href=""https://data.cityofboston.gov/Health/Urban-Orchards-Map-View/wv26-euyd"">https://data.cityofboston.gov/Health/Urban-Orchards-Map-View/wv26-euyd</a>
</p>",Health,"food, food initiatives, fruit, orchards, trees, green streets, urban agriculture, boston",,en,2013-08-23T08:46:57+00:00,,,BOSTON/Mayor's Office of Food Initiatives,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
boston-active-food-establishment-map,"Active Food Establishment, Boston, MA","<p>
	 <span style=""line-height: 1.45em;"">Listing of food establishments with active licenses in Boston, USA</span>
</p>
<p>
	 <span style=""line-height: 1.45em;"">source: </span><span style=""line-height: 1.45em;""></span><a href=""https://data.cityofboston.gov/Permitting/Active-Food-Establishment-Map/3a6m-dwve"" style=""line-height: 1.45em;"">https://data.cityofboston.gov/Permitting/Active-Food-Establishment-Map/3a6m-dwve</a>
</p>",Permitting,"food, restaurants, inspetions",,en,2013-08-23T08:49:07+00:00,,,BOSTON/Inspectional Services Dept.,,,2765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
geoflar-departements,Geofla® - Départements,"<p>
	<span style=""line-height: 1.45em;"">GEOFLA® contient la description de l'ensemble des unités administratives du territoire national.</span>
</p>
<p>
	<span style=""line-height: 1.45em;""> Les données existent en 2 versions: GEOFLA® Communes, et GEOFLA® Départements.</span>
</p>",,,"La réutilisation de GEOFLA® est gratuite pour tous les usages, y compris commerciaux, selon les termes de la ""licence ouverte"" version 1.0",fr,2013-09-02T14:42:29+00:00,2015-06-24T15:55:00+00:00,2015-07-06T20:55:00+00:00,IGN,http://professionnels.ign.fr/geofla#tab-3,,96,,,,,,,2013-01-14,2013-01-14,IGN,,,France Métropolitaine,,,,,,,,,,,,,,,,,452
geoflar-communes,Geofla® - Communes,"<p>
	 <span style=""line-height: 1.45em;"">GEOFLA® contient la description de l'ensemble des unités administratives du territoire national.</span>
</p>
<p>
	 <span style=""line-height: 1.45em;""> Les données existent en 2 versions: GEOFLA® Communes, et GEOFLA® Départements.</span>
</p>",,,"La réutilisation de GEOFLA® est gratuite pour tous les usages, y compris commerciaux, selon les termes de la ""licence ouverte"" version 1.0.",fr,2013-09-02T17:45:11+00:00,2015-06-16T08:55:00+00:00,2015-07-17T07:55:00+00:00,IGN,http://professionnels.ign.fr/geofla#tab-3,,36613,,,,,,,2013-01-14,2013-01-14,IGN,,,France Métropolitaine,,,,,,,,,,,,,,,,,348
etalages_et_terrasses_autorisees_a_paris,Etalages et terrasses autorisées à Paris,"<p>
	  Liste des 19000 autorisations d’occupation du domaine public délivrées aux commerces parisiens (autorisation d’installer des étalages, terrasses, commerces accessoires, contre terrasse, contre étalage,...).<br>
<br>
<strong>Description des données</strong><br>
<em>Dossier   </em><br>
	  Numéro du dossier du  commerce bénéficiaire de l’autorisation d’installation d’un ou plusieurs objets. <br>
	  Ce numéro permet d’accéder à l’affichette décrivant l’autorisation accordée au commerce. Cette affichette est accessible via une URL construite à partir du numéro de dossier : <br>
	  Exemple :<br>
	  dossier : 740062012003<br>
<a href=""http://affichette-commerce.paris.fr/Quartier74/740062012%20003.pdf"">http://affichette-commerce.paris.fr/Quartier74/740062012%20003.pdf</a><br>
	  le numéro de quartier est sur deux chiffres. Pour les quartiers de 1 à 9 : ajouter un zéro avant le numéro de dossier.<br>
<br>
<em>Arrondissement   </em><br>
	  Numéro de l’arrondissement où est situé le commerce.<br>
<br>
<em>Adresse</em><br>
	  Adresse d’installation du dispositif autorisé au format : «n° dans la voie» «type de voie» «nom de la voie». Exemple : 23 BOULEVARD DIDEROT<br>
	  Lorsque le dispositif autorisé se situe sur l’angle entre deux rues, le dispositif autorisé est localisé comme suit : «Pan coupé »  «adresse1»/«adresse2». Exemple :  Pan coupé 28 BOULEVARD DIDEROT / 9 RUE HECTOR MALO<br>
<br>
<em>Libelle_type_objet   </em><br>
	  Type de l’objet autorisé : type étalage, contre-étalage, terrasse ouverte, contre-terrasse, terrasse fermée, commerce accessoire, plancher mobile, bâche.<br>
<em><br>
	  Dima   </br></em><br>
	  Largeur de l’emprise autorisée. <br>
<em><br>
	  Dimb   </br></em><br>
	  Longueur de l’emprise autorisée.<br>
<br>
<em>Dosred </em><br>
	    Raison sociale du bénéficiaire de l’autorisation et indication de la nature du commerce entre parenthèses. Exemple : SA CHEZ RIBE  (RESTAURANT)
</br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></p>",Urbanisme,"étalage, terrasse, autorisation, occupation, rue, trottoir, piéton",Open Database License (ODbL),fr,2013-09-04T16:21:54+00:00,,,Ville de Paris,,,18745,Geographical locations from OpenStreetMap contributors - http://www.openstreetmap.org,,,,,,,2013-10-06,Ville de Paris,Ville de Paris,Annuelle,Paris,,Arrondissement,,,,,,,,,,,,,,,7
conseils-quartiers,Les conseils de quartier par arrondissement,"<p>
<span style=""line-height: 1.45em;"">La carte des périmètres des conseils de quartier par arrondissement</span>
</p>
<p>
	         Vous pouvez également la retrouver <a href=""http://www.paris.fr/politiques/conseils-de-quartier/conseils-de-quartier/p10047"" style=""line-height: 1.45em;"">ici</a>
</p>
<p>
	 En pièce jointe, le jeu de données au format d'origine.
</p>",Citoyens,"Conseil de quartier, Quartier, arrondissement",Open Database License (ODbL),fr,2013-09-10T14:58:32+00:00,,,Ville de Paris,,,121,,,,,,,,2013-07-19,Ville de Paris,Ville de Paris,,,,,,,,,,,,,,,,,,,4
liste_des_marches_conclus_en_2011,Liste des marchés conclus en 2011,"Liste des attributaires des marchés de l'État tel que référencé sur la plateforme du SAE, comprenant le nom de l'entité publique, l'entité d'achat, le nom de l'attributaire, la date de notification, le code postal, la tranche budgétaire en euro HT, la nature de l'achat, l'objet du marché, le montant du marché, l'attribution à une PME.",,"Service, Travaux publics, Achats, Marché, Attributaire, Fourniture, Travaux",http://www.data.gouv.fr/Licence-Ouverte-Open-Licence,fr,2013-09-14T13:45:13+00:00,,,Etalab,http://www.data.gouv.fr/DataSet/30380017?xtmc=&xtcr=1,,12325,,,,,,,,2013-03-29,,,Yearly,France,2011,,,,,,,,,,,,,,,,38
espaces-cityssimo,Espaces Cityssimo,"<p>
	Liste des Points Cityssimo, incluant l’adresse, les coordonnées de géolocalisation ainsi que leurs horaires d’ouverture et les dates de fermeture. Les espaces Cityssimo sont des sites de retrait automatiques des colis accessibles 7j/7 et 24h/24 (sauf espaces Cityssimo soumis aux horaires des galeries marchandes).
</p>",Service Postal,,http://www.data.gouv.fr/Licence-Ouverte-Open-Licence,en,2013-10-22T20:00:25+00:00,,,La Poste,http://www.data.gouv.fr/DataSet/573333,,35,,,,,,,,2013-09-20,,,,,,,,,,,,,,,,,,,,,84
points-de-contact-du-reseau-postal-francais,Points de Contact du Réseau Postal Français,"<p>
	Liste des points de contact du réseau postal français (bureau de poste et agence postale), incluant l'adresse, les coordonnées de géolocalisation et les services associés (Distributeur de billets, affranchissement libre service, photocopieur, ...).
</p>",Service Postal,,http://www.data.gouv.fr/Licence-Ouverte-Open-Licence,en,2013-10-22T20:05:02+00:00,,,La Poste,http://www.data.gouv.fr/DataSet/551640,,17063,,,,,,,,2013-08-21,,,,,,,,,,,,,,,,,,,,,51
liste-des-boites-aux-lettres-paris,Liste des Boîtes aux Lettres - Paris,"<p>
	Liste des boîtes aux lettres de rue (Boîtes aux lettres et boîtes aux lettres modulables), incluant l’adresse, les coordonnées
</p>
<p>
	de géolocalisation ainsi que leurs horaires de levées intra-départementales et extra-départementales.
</p>",Service Postal,,http://www.data.gouv.fr/Licence-Ouverte-Open-Licence,en,2013-10-22T21:19:40+00:00,2015-06-22T14:55:00+00:00,2015-07-07T16:55:00+00:00,La Poste,http://legroupe.laposte.fr/Actualite/Le-Groupe-La-Poste-partenaire-du-concours-Dataconnexions,,1838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109
liste-des-boites-aux-lettres-alpes-maritimes,Liste des Boîtes aux Lettres - Alpes Maritimes,"<p>
	Liste des boîtes aux lettres de rue (Boîtes aux lettres et boîtes aux lettres modulables), incluant l’adresse, les coordonnées
</p>
<p>
	de géolocalisation ainsi que leurs horaires de levées intra-départementales et extra-départementales.
</p>",Service Postal,,http://www.data.gouv.fr/Licence-Ouverte-Open-Licence,en,2013-10-22T21:20:15+00:00,,,La Poste,http://legroupe.laposte.fr/Actualite/Le-Groupe-La-Poste-partenaire-du-concours-Dataconnexions,,1846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
liste-des-boites-aux-lettres-bordeaux,Liste des Boîtes aux Lettres - Bordeaux,"<p>
	Liste des boîtes aux lettres de rue (Boîtes aux lettres et boîtes aux lettres modulables), incluant l’adresse, les coordonnées
</p>
<p>
	de géolocalisation ainsi que leurs horaires de levées intra-départementales et extra-départementales.
</p>",Service Postal,,http://www.data.gouv.fr/Licence-Ouverte-Open-Licence,en,2013-10-22T21:20:41+00:00,2015-06-01T05:19:37+00:00,2015-07-07T13:55:00+00:00,La Poste,http://legroupe.laposte.fr/Actualite/Le-Groupe-La-Poste-partenaire-du-concours-Dataconnexions,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
hurricane-tracks-1851-20071,Hurricane Tracks 1851-2007,"<p>
	This Historical North Atlantic Tropical Cyclone Tracks file contains the 6-hourly (0000, 0600, 1200, 1800 UTC) center locations and intensities for all subtropical depressions and storms, extratropical storms, tropical lows, waves, disturbances, depressions and storms, and all hurricanes, from 1851 through 2008. Purpose: These data are intended for geographic display and analysis at the national level, and for large regional areas. The data should be displayed and analyzed at scales appropriate for 1:2,000,000-scale data. No responsibility is assumed by the National Oceanic and Atmospheric Administration in the use of these data.
</p>",,,,en,2013-11-25T17:13:53+00:00,,2015-07-16T14:55:03+00:00,,,,58007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
restaurants_a_proximite_de_pepiniere_27,Restaurants à proximité de Pépinière 27,"<p>
	      Liste de restaurants facilement accessibles à pied depuis Pépinière 27, pépinière d'entreprises dont fait partie <span style=""line-height: 1.45em;"">OpenDataSoft</span><span style=""line-height: 1.45em;"">.</span>
</p>
<p>
	      Les horaires, prix moyens et plats conseillés sont également indiqués.
</p>",Restaurants,"Restaurants, Pépinière 27",,fr,2013-11-26T13:57:38+00:00,2015-06-01T05:19:34+00:00,2015-07-02T15:55:00+00:00,OpenDataSoft,,,16,,,,,,,2013-08-09,2013-08-09,,,,,,,,,,,,,,,,,,,,,15
representation-feminine-au-sein-des-chambres-consulaires-territoriales-ccit,Représentation féminine au sein des chambres consulaires territoriales (CCIT),"<p>
	Représentation des femmes au sein des chambres consulaires territoriales (CCIT), pour la mandature 2010-2015, à l'exception des DOM-TOM. Source des données: étude d'impact projet de loi et CCI France.
</p>
<p>
	Issu de l'Open Data Camp Etalab (28/11/2013).
</p>",,,,en,2013-11-28T16:27:10+00:00,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
nyc-subway-stations,NYC Subway Stations,"<p>
	 NYC Subway Stations
</p>
<p>
	http://www.mta.info/nyct/subway/index.html
</p>",Transportation,"subway, stations, map, transit, train, travel, transfer",,en,2013-12-26T16:01:54+00:00,,,NYC/Department of Information Technology & Telecommunications (DoITT),https://data.cityofnewyork.us/Transportation/Subway-Stations/arq3-7z49,,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48
